Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"16MB Flash","C2062840",5,5.52,"https://www.lcsc.com/product-detail/C2062840.html?s_z=n_16MB&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVJeUlBfQVlWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"SMD Stensil","Single Side",1,3.05,"https://jlcpcb.com","JLCPCB"
"PCB","FR4 Blue Min 5",5,4.00,"https://jlcpcb.com","JLCPCB"
"10 R0603","C109318 Min 100",100,0.40,"https://www.lcsc.com/product-detail/C109318.html?s_z=n_10ohm%25200603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVVZVQVJbVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"100 R0603","C105588 Min 100",100,0.14,"https://www.lcsc.com/product-detail/C105588.html?s_z=n_100%2520ohm%2520r0603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlNUTlhXUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"Green L0603","C965804 Min 100",100,0.51,"https://www.lcsc.com/product-detail/C965804.html?spm=wm.fly.bg.3.xh___wm.ppx.1.5.a&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlFWRldYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"Blue L0603","C965807 Min 100",100,0.42,"https://www.lcsc.com/product-detail/C965807.html?spm=wm.fly.bg.2.xh___wm.ppx.1.5.a&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlFWRldYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"Red L0603","C965799 Min 100",100,0.38,"https://www.lcsc.com/product-detail/C965799.html?s_z=n_red%2520led&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlFWRldYUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"27 R0603","C2907021 Min 100",100,0.10,"https://www.lcsc.com/product-detail/C2907021.html?s_z=n_27%2520ohm%25200603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlBXQFRZXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"1K R0603","C22548 Min 100",100,0.15,"https://www.lcsc.com/product-detail/C22548.html?s_z=n_1K%2520R0603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVldTQVNaVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"15pF C0603","C1644 Min 100",100,0.54,"https://www.lcsc.com/product-detail/C1644.html?s_z=n_15pF%2520C0603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVldXRlBWUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTllcVVRIHxUDCw%3D%3D","LCSC"
"10K R0603","C98220 Min 100",100,0.15,"https://www.lcsc.com/product-detail/C98220.html?s_z=n_10K%2520R0603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlZQRFhfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"5.1K R0603","C2907044 Min 100",100,0.12,"https://www.lcsc.com/product-detail/C2907044.html?s_z=n_5.1K%2520R0603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlZXT1ZbXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"10uF C0603","C19702 Min 50",50,0.40,"https://www.lcsc.com/product-detail/C19702.html?s_z=n_10uF%2520C0603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlVQQ1ZaVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","LCSC"
"0.1uF C0603","C1591 Min 100",100,0.28,"https://www.lcsc.com/product-detail/C1591.html?s_z=n_0.1uF%2520C0603&spm=wm.ssy.bg.1.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlVWQ1RfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRWU11IHxUDCw%3D%3D","LCSC"
"1uF C0603","C15849 Min 50",50,0.39,"https://www.lcsc.com/product-detail/C15849.html?s_z=n_1uF%25200603&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbVlRTTlBWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"
"Pushbutton","C49234152 Min 20",20,0.64,"https://www.lcsc.com/product-detail/C49234152.html?s_z=n_C49234152","LCSC"
"On-Off Switch","C1788492",10,5.16,"https://www.lcsc.com/product-detail/C1788492.html","LCSC"
"RP2040","C2040",5,4.74,"https://www.lcsc.com/product-detail/C2040.html?s_z=n_RP2040&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbV1xfQVlXVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlZbVVVIHxUDCw%3D%3D","LCSC"
"3.3V LDO","C51118 Min 5",5,0.73,"https://www.lcsc.com/product-detail/C51118.html?s_z=n_AP2112K-3.3TRG1&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbV1NUTlJYVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVZYUlVeQU8GEwkK","LCSC"
"USB-C 16pin","C2765186 Min 20",20,1.33,"https://www.lcsc.com/product-detail/C2765186.html?s_z=n_TYPE-C%252016PIN%25202MD%28073%29&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbV1JeQlldUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlFeVUoOAwwC","LCSC"
"12MHz Crystal","C9002 Min 10",10,0.73,"https://www.lcsc.com/product-detail/C9002.html?s_z=n_12mhz&spm=wm.ssy.bg.0.xh&lcsc_vid=QgIPUwJUQQdcBgFSRgdeV1RWQ1NfAgADFQUNUAdRQgcxVlNRQVBbV1FfT1RfUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D","LCSC"